name,api_name,cost,role,shop_unit,stats_armor,stats_attack_speed,stats_crit_chance,stats_crit_multiplier,stats_damage,stats_hp,stats_initial_mana,stats_magic_resist,stats_mana,stats_range
Seraphine,TFT16_SERAPHINE,4,APCaster,True,30.0,0.75,0.25,1.399999976158142,30.0,800.0,0,30.0,20.0,4.0
Yasuo,TFT16_YASUO,2,ADFighter,True,45.0,0.800000011920929,0.25,1.399999976158142,45.0,750.0,0,45.0,30.0,1.0
Ahri,TFT16_AHRI,3,APCaster,True,25.0,0.800000011920929,0.25,1.399999976158142,30.0,650.0,0,25.0,30.0,4.0
Wukong,TFT16_WUKONG,4,ADTank,True,60.0,0.6499999761581421,0.25,1.399999976158142,60.0,1050.0,30.0,60.0,90.0,1.0
Shen,TFT16_SHEN,1,APTank,True,40.0,0.6499999761581421,0.25,1.399999976158142,65.0,700.0,20.0,40.0,75.0,1.0
Malzahar,TFT16_MALZAHAR,3,APCaster,True,25.0,0.75,0.25,1.399999976158142,30.0,650.0,0,25.0,35.0,4.0
Rek'Sai,TFT16_REKSAI,2,ADReaper,True,45.0,0.800000011920929,0.25,1.399999976158142,50.0,750.0,0,45.0,30.0,1.0
Cho'Gath,TFT16_CHOGATH,2,APTank,True,45.0,0.6000000238418579,0.25,1.399999976158142,50.0,850.0,40.0,45.0,100,1.0
Kog'Maw,TFT16_KOGMAW,1,APCaster,True,15.0,0.699999988079071,0.25,1.399999976158142,20.0,500.0,0,15.0,30.0,6.0
Annie,TFT16_ANNIE,5,APCaster,True,30.0,0.800000011920929,0.25,1.399999976158142,30.0,800.0,0,30.0,170.0,4.0
Ornn,TFT16_ORNN,5,APTank,True,55.0,0.550000011920929,0.25,1.399999976158142,70.0,900.0,50.0,55.0,150.0,1.0
Kindred,TFT16_KINDRED,5,ADCarry,True,40.0,0.8999999761581421,0.25,1.399999976158142,78.0,900.0,80.0,40.0,200.0,4.0
Azir,TFT16_AZIR,5,APCarry,True,30.0,0.800000011920929,0.25,1.399999976158142,35.0,800.0,20.0,30.0,40.0,4.0
Zilean,TFT16_ZILEAN,5,APCaster,True,30.0,0.8999999761581421,0.25,1.399999976158142,40.0,900.0,0,30.0,35.0,4.0
Fiddlesticks,TFT16_FIDDLESTICKS,5,APReaper,True,60.0,0.8999999761581421,0.25,1.399999976158142,50.0,1200.0,40.0,60.0,80.0,2.0
Shyvana,TFT16_SHYVANA,5,ADFighter,True,60.0,0.8999999761581421,0.25,1.399999976158142,80.0,1200.0,0,60.0,40.0,1.0
Galio,TFT16_GALIO,5,APTank,True,65.0,0.8999999761581421,0.25,1.399999976158142,50.0,900.0,90.0,65.0,140.0,1.0
Tahm Kench,TFT16_TAHMKENCH,5,APTank,True,60.0,0.550000011920929,0.25,1.399999976158142,70.0,1100.0,10.0,60.0,90.0,1.0
Sejuani,TFT16_SEJUANI,3,APTank,True,50.0,0.6000000238418579,0.25,1.399999976158142,60.0,900.0,40.0,50.0,80.0,1.0
Sett,TFT16_SETT,5,APFighter,True,50.0,0.8999999761581421,0.25,1.399999976158142,70.0,1000.0,10.0,50.0,90.0,1.0
Brock,TFT16_BROCK,5,ADFighter,True,60.0,0.5,0.25,1.399999976158142,300.0,2000.0,40.0,60.0,100,1.0
T-Hex,TFT16_THEX,5,ADFighter,True,70.0,0.8999999761581421,0.25,1.399999976158142,75.0,1400.0,30.0,70.0,100,2.0
Bel'Veth,TFT16_BELVETH,4,ADFighter,True,50.0,0.8500000238418579,0.25,1.399999976158142,65.0,1000.0,0,50.0,100,2.0
Singed,TFT16_SINGED,4,APFighter,True,60.0,0.699999988079071,0.25,1.399999976158142,15.0,1100.0,0,60.0,80.0,1.0
Aurelion Sol,TFT16_AURELIONSOL,5,APCaster,True,40.0,0.800000011920929,0.25,1.399999976158142,50.0,1100.0,20.0,40.0,90.0,4.0
Veigar,TFT16_VEIGAR,4,APCaster,True,30.0,0.75,0.25,1.399999976158142,33.0,800.0,0,30.0,60.0,4.0
Baron Nashor,TFT16_BARONNASHOR,5,ADFighter,True,85.0,0.5,0.25,1.399999976158142,120.0,3000.0,0,85.0,50.0,2.0
Darius,TFT16_DARIUS,3,ADTank,True,50.0,0.6499999761581421,0.25,1.399999976158142,50.0,900.0,15.0,50.0,75.0,1.0
Yone,TFT16_YONE,4,HFighter,True,60.0,0.8999999761581421,0.25,1.399999976158142,20.0,1100.0,30.0,60.0,100,1.0
Warwick,TFT16_WARWICK,4,ADFighter,True,60.0,0.8999999761581421,0.25,1.399999976158142,60.0,1200.0,0,60.0,90.0,1.0
Fizz,TFT16_FIZZ,4,APReaper,True,50.0,0.8999999761581421,0.25,1.399999976158142,30.0,1000.0,0,50.0,20.0,1.0
Poppy ,TFT16_POPPY,2,ADTank,True,45.0,0.699999988079071,0.25,1.399999976158142,50.0,850.0,40.0,45.0,80.0,1.0
Kennen ,TFT16_KENNEN,3,APTank,True,50.0,0.6499999761581421,0.25,1.399999976158142,50.0,900.0,70.0,50.0,125.0,1.0
Ziggs ,TFT16_ZIGGS,5,APCarry,True,30.0,0.8500000238418579,0.25,1.399999976158142,,900.0,0,30.0,160.0,6.0
Aatrox ,TFT16_AATROX,5,ADFighter,True,55.0,0.8999999761581421,0.25,1.399999976158142,70.0,900.0,0,55.0,30.0,1.0
Volibear ,TFT16_VOLIBEAR,5,ADFighter,True,60.0,0.8999999761581421,0.25,1.399999976158142,55.0,1200.0,0,60.0,20.0,1.0
Jhin,TFT16_JHIN,1,ADCarry,True,24.0,0.699999988079071,0.25,1.399999976158142,48.0,444.0,0,24.0,70.0,4.0
Sylas ,TFT16_SYLAS,5,APFighter,True,70.0,0.8999999761581421,0.25,1.399999976158142,65.0,1600.0,0,70.0,30.0,1.0
Ryze ,TFT16_RYZE,5,APCaster,True,40.0,0.8500000238418579,0.25,1.399999976158142,35.0,1000.0,0,40.0,45.0,4.0
Nidalee ,TFT16_NIDALEE,4,APFighter,True,70.0,0.8999999761581421,0.25,1.399999976158142,45.0,1100.0,0,70.0,40.0,1.0
Tryndamere ,TFT16_TRYNDAMERE,2,ADFighter,True,45.0,0.699999988079071,0.25,1.399999976158142,60.0,750.0,0,45.0,50.0,1.0
Rift Herald ,TFT16_RIFTHERALD,4,APTank,True,60.0,0.6000000238418579,0.25,1.399999976158142,60.0,1200.0,60.0,60.0,125.0,1.0
Mel ,TFT16_MEL,5,APCaster,True,30.0,0.800000011920929,0.25,1.399999976158142,50.0,900.0,0,30.0,200.0,4.0
Graves ,TFT16_GRAVES,2,ADFighter,True,45.0,0.699999988079071,0.25,1.399999976158142,55.0,750.0,0,45.0,50.0,2.0
Skarner ,TFT16_SKARNER,4,ADTank,True,70.0,0.6499999761581421,0.25,1.399999976158142,65.0,1400.0,60.0,70.0,120.0,1.0
Diana ,TFT16_DIANA,4,APReaper,True,70.0,0.8999999761581421,0.25,1.399999976158142,50.0,1300.0,0,70.0,30.0,1.0
Kai'Sa ,TFT16_KAISA,4,ADCasterFormSwapper,True,30.0,0.5,0.25,1.399999976158142,50.0,850.0,0,30.0,10.0,6.0
Renekton ,TFT16_RENEKTON,4,ADFighter,True,70.0,0.8999999761581421,0.25,1.399999976158142,75.0,1400.0,0,70.0,30.0,1.0
Nasus ,TFT16_NASUS,4,APTank,True,70.0,0.6499999761581421,0.25,1.399999976158142,60.0,1500.0,0,70.0,80.0,1.0
Xerath ,TFT16_XERATH,5,APCaster,True,30.0,0.800000011920929,0.25,1.399999976158142,40.0,900.0,0,30.0,135.0,4.0
Thresh ,TFT16_THRESH,5,APFighter,True,75.0,0.8500000238418579,0.25,1.399999976158142,60.0,1200.0,0,75.0,40.0,1.0
Gwen ,TFT16_GWEN,3,APFighter,True,50.0,0.800000011920929,0.25,1.399999976158142,40.0,800.0,0,50.0,30.0,2.0
Kalista ,TFT16_KALISTA,4,ADCaster,True,30.0,0.800000011920929,0.25,1.399999976158142,50.0,800.0,20.0,30.0,70.0,4.0
LeBlanc ,TFT16_LEBLANC,3,APCaster,True,25.0,0.75,0.25,1.399999976158142,35.0,650.0,0,25.0,60.0,4.0
Viego,TFT16_VIEGO,1,HFighter,True,40.0,0.75,0.25,1.399999976158142,40.0,700.0,0,40.0,30.0,1.0
Ekko,TFT16_EKKO,2,APFighter,True,50.0,0.8500000238418579,0.25,1.399999976158142,35.0,750.0,0,50.0,40.0,1.0
Bard ,TFT16_BARD,2,APCaster,True,20.0,0.75,0.25,1.399999976158142,30.0,750.0,0,20.0,55.0,4.0
Vayne,TFT16_VAYNE,3,ADCarry,True,25.0,0.8999999761581421,0.25,1.399999976158142,70.0,650.0,0,25.0,40.0,6.0
Yunara,TFT16_YUNARA,4,ADCarry,True,30.0,0.75,0.25,1.399999976158142,65.0,800.0,0,30.0,50.0,4.0
Swain,TFT16_SWAIN,4,APTank,True,60.0,0.6499999761581421,0.25,1.399999976158142,40.0,1200.0,50.0,60.0,145.0,1.0
Xin Zhao,TFT16_XINZHAO,2,ADTank,True,45.0,0.6499999761581421,0.25,1.399999976158142,50.0,850.0,15.0,45.0,70.0,1.0
Yorick ,TFT16_YORICK,2,APTank,True,45.0,0.6000000238418579,0.25,1.399999976158142,60.0,850.0,15.0,45.0,75.0,1.0
Orianna ,TFT16_ORIANNA,2,APCaster,True,20.0,0.699999988079071,0.25,1.399999976158142,30.0,550.0,20.0,20.0,60.0,4.0
Qiyana,TFT16_QIYANA,1,ADFighter,True,40.0,0.75,0.25,1.399999976158142,45.0,700.0,0,40.0,30.0,1.0
Loris,TFT16_LORIS,3,APTank,True,50.0,0.6000000238418579,0.25,1.399999976158142,60.0,950.0,70.0,50.0,140.0,1.0
Blitzcrank,TFT16_BLITZCRANK,1,APTank,True,40.0,0.550000011920929,0.25,1.399999976158142,50.0,700.0,60.0,40.0,120.0,1.0
Dr. Mundo,TFT16_DRMUNDO,3,ADTank,True,50.0,0.6000000238418579,0.25,1.399999976158142,50.0,900.0,0,50.0,80.0,1.0
Zaahen,TFT16_ZAAHEN,5,ADFighter,True,80.0,1.0,0.25,1.399999976158142,60.0,1200.0,0,80.0,40.0,2.0
Tibbers,TFT16_ANNIETIBBERS,11,APTank,True,80.0,0.75,0.25,1.399999976158142,90.0,1500.0,40.0,80.0,100,1.0
Lucian & Senna,TFT16_LUCIAN,5,ADCaster,True,40.0,0.800000011920929,0.25,1.399999976158142,65.0,900.0,0,40.0,60.0,4.0
Kobuko & Yuumi,TFT16_KOBUKO,3,APTank,True,50.0,0.6499999761581421,0.25,1.399999976158142,20.0,950.0,30.0,50.0,90.0,1.0
Golem,TFT_BLUEGOLEM,1,APTank,False,40.0,0.550000011920929,0.25,1.399999976158142,55.0,600.0,30.0,40.0,100,1.0
Training Dummy,TFT_TRAININGDUMMY,1,ADTank,False,30.0,0.5,,0.0,50.0,550.0,0,30.0,0.0,1.0
