item_name,item_api_name,tier,effects
Silver Spoon,TFT9_AUGMENT_SILVERSPOON,SILVER,"{""Experience"": 10.0}"
Infinity Protection,TFT_AUGMENT_INFINITYPROTECTION,GOLD,"{""GoldAmount"": 3.0, ""HealthPercent"": 12.0}"
Forge a Friend,TFT_AUGMENT_FORGEAFRIEND,SILVER,"{""Gold"": 5.0}"
Care Package,TFT_AUGMENT_HOMECOOKING,GOLD,"{""Gold"": 1, ""Health"": 4, ""NumStages"": 2, ""component"": 1}"
Swordsmith,TFT_AUGMENT_FORGESWORD,GOLD,"{""NumItems"": 2}"
Epoch+,TFT11_AUGMENT_EPOCHPLUS,GOLD,"{""Rerolls"": 2.0, ""XP"": 8.0}"
Kahunahuna,TFT_AUGMENT_FURIOUSBLOWS,GOLD,"{""NumAttacks"": 5.0, ""PercentAD"": 1.0}"
Component Heist,TFT_AUGMENT_MUSEUMHEIST,PRISMATIC,"{""Numberofcombats"": 6}"
Aura Farming,TFT_AUGMENT_AURAFARMING,GOLD,"{""NumItems"": 1.0, ""UnlockRound"": 3, ""UnlockStage"": 4, ""starLevel"": 2.0}"
Belt Overflow,TFT_AUGMENT_BELTOVERFLOW,PRISMATIC,"{""BonusHealth"": 85.0, ""NumItems"": 4.0}"
Forged in Strength,TFT_AUGMENT_FORGEDINSTRENGTH,PRISMATIC,"{""HealthThreshold"": 30, ""NumArtifacts"": 1, ""NumMoreArtifacts"": 3}"
One Two Three,TFT9_AUGMENT_ONETWOSTHREE,SILVER,"{""NumChamps"": 1.0, ""tier1champs"": 2.0}"
The Trait Tree,TFT_AUGMENT_TRAITTREE,PRISMATIC,"{""Gold"": 2.0, ""NumOfEmblems"": 3.0, ""NumReforgers"": 1.0}"
Savings Account,TFT_AUGMENT_SAVINGSACCOUNT,GOLD,"{""GoldNow"": 2.0, ""GoldToGain"": 25, ""InterestCap"": 7.0, ""goldrequired"": 50.0}"
Crafted Crafting,TFT_AUGMENT_CRAFTEDCRAFTING,SILVER,"{""Rerolls"": 2.0}"
Jeweled Lotus I,TFT9_AUGMENT_JEWELEDLOTUS,GOLD,"{""CritChance"": 10.0, ""CritDamage"": null}"
Birthday Reunion,TFT_AUGMENT_BIRTHDAYREUNION,GOLD,"{""FirstLevelBreakpoint"": 7, ""Gold"": 1, ""InitialLevelBreakpoint"": 5, ""SecondLevelBreakpoint"": 9}"
Cursed Crown,TFT7_AUGMENT_CURSEDCROWN,PRISMATIC,"{""DurabilityBonus"": 0.03999999910593033, ""MaxArmySizeIncrease"": 2.0, ""PlayerCombatDamageIncrease"": 100.0}"
Exclusive Customization II,TFT_AUGMENT_EXCLUSIVECUSTOMIZATION2,PRISMATIC,"{""Gold"": 7, ""ItemCount"": 2, ""NumRemovers"": 1}"
Prizefighter,TFT11_AUGMENT_PRIZEFIGHTER,GOLD,"{""WinsNeeded"": 5.0, ""component"": 2.0}"
Heroic Grab Bag,TFT10_AUGMENT_HEROICGRABBAG,GOLD,"{""Gold"": 5.0, ""LesserDuplicatorAmount"": 2.0}"
Exclusive Customization,TFT_AUGMENT_EXCLUSIVECUSTOMIZATION,GOLD,"{""Gold"": 7, ""NumRemovers"": 1}"
Invested++,TFT_AUGMENT_INVESTEDPLUSPLUS,PRISMATIC,"{""Gold"": 40.0, ""GoldPerReroll"": 10.0, ""GoldThreshold"": 50.0, ""MaxGold"": 80.0}"
Wand Overflow,TFT_AUGMENT_WANDOVERFLOW,PRISMATIC,"{""BonusStat"": 0.05000000074505806, ""NumItems"": 4.0}"
Radiant Rascal,TFT9_AUGMENT_ROLLTHEDICE,PRISMATIC,{}
Spreading Roots+,TFT_AUGMENT_SPREADINGROOTSPLUS,GOLD,"{""Gold"": 2.0, ""NumOfEmblems"": 2.0, ""NumReforgers"": 1.0}"
Ascension,TFT9_AUGMENT_COMMANDER_ASCENSION,GOLD,"{""DamageAmp"": 35.0, ""Delay"": 12.0}"
Lineup,TFT_AUGMENT_LINEUP,SILVER,"{""Resistances"": 2.0}"
Pandora's Items II,TFT9_AUGMENT_PANDORASITEMS2,GOLD,"{""NumCompletedItems"": null, ""NumComponents"": 2.0}"
Luxury Subscription,TFT_AUGMENT_LUXURYSUBSCRIPTION,PRISMATIC,"{""FutureChampionCount"": 2.0, ""Gold"": 7.0}"
Booster Pack,TFT_AUGMENT_BOOSTERPACK,GOLD,"{""GuaranteedCost"": 3.0, ""TotalValue"": 12.0}"
Golden Gamble++,TFT_AUGMENT_GOLDENGAMBLEPLUSPLUS,PRISMATIC,"{""CompletedAnvils"": 2.0, ""Gold"": 6.0}"
Glass Cannon II,TFT_AUGMENT_GLASSCANNONII,GOLD,"{""DamageAmp"": 0.25, ""Health"": 0.800000011920929}"
Recombobulator,TFT6_AUGMENT_RECOMBOBULATOR,SILVER,"{""FreeRerolls"": 3, ""NumRemovers"": 2.0}"
Little Buddies,TFT10_AUGMENT_LITTLEBUDDIES,GOLD,"{""AttackSpeed"": 0.07000000029802322, ""Health"": 65.0, ""{0d14760d}"": 4.0, ""{82aeb8a7}"": 2.0}"
Advanced Loan+,TFT_AUGMENT_ADVANCEDLOANPLUS,GOLD,"{""Gold"": 33}"
Commerce Core,TFT6_AUGMENT_TRADESECTOR2,PRISMATIC,"{""Gold"": null, ""RerollCount"": 3.0, ""RerollsNow"": 16.0}"
Focused Fire,TFT_AUGMENT_MARKSMAN,SILVER,"{""ADPerProc"": 0.05000000074505806, ""BaselineAD"": 0.10000000149011612, ""ProcDelay"": 5.0}"
Side Effects,TFT_AUGMENT_SIDEEFFECTS,GOLD,"{""HealConversionPct"": 0.5, ""HealInterval"": 5.0, ""HealPct"": 0.03999999910593033}"
Invested+,TFT_AUGMENT_INVESTEDPLUS,PRISMATIC,"{""Gold"": 26.0, ""GoldPerReroll"": 10.0, ""GoldThreshold"": 50.0, ""MaxGold"": 80.0}"
Bodyguard Training,TFT_AUGMENT_BODYGUARDTRAINING,GOLD,"{""BaseResistGained"": 15, ""ResistsPerLevel"": 2}"
Cry Me A River,TFT_AUGMENT_CRYMEARIVER,GOLD,"{""DelayTime"": 12, ""RegenBonus"": 1.0, ""UpgradedRegenBonus"": 4.0, ""{45ca499e}"": null}"
A Magic Roll,TFT_AUGMENT_MAGICROLL,GOLD,"{""EggTurns"": 3.0, ""NumComponents"": 2.0, ""{3b0ef232}"": 250.0, ""{95ed8271}"": 3, ""{9a58ced6}"": 4.0, ""{b0892e64}"": 1.0, ""{c726cd82}"": 2.0}"
Sword Overflow,TFT_AUGMENT_SWORDOVERFLOW,PRISMATIC,"{""BonusStat"": 0.03999999910593033, ""NumItems"": 4.0}"
