name,api_name,type,tier_max_units,tier_min_units,tier_style,tier_variables,desc
Vanguard,TFT17_SHIELDTANK,GOLD,25000,6,5,"{'DamageReductionPct': 0.05000000074505806, 'EnhancedDurability': 0.10000000149011612, 'HealthThreshold': 0.5, 'ShieldDuration': 10.0, 'ShieldPercentAmount': 0.4000000059604645}",Vanguards gain @DamageReductionPct*100@% Durability while Shielded. <br><br>Combat start and @HealthThreshold*100@%&nbsp;Health: Gain a max Health Shield for @ShieldDuration@&nbsp;seconds.<br><br><row>(@MinUnits@) @ShieldPercentAmount*100@% max Health</row><br><row>(@MinUnits@) @ShieldPercentAmount*100@% max Health</row><br><row>(@MinUnits@) @ShieldPercentAmount*100@% max Health;<br>@EnhancedDurability*100@%&nbsp;%i:scaleDR% while Shielded</row>
Psionic,TFT17_PSYOPS,BRONZE,3,2,1,{'{1b889d1c}': None},"Gain Psionic items that can be equipped to any ally.<br><br><row>(@MinUnits@) Gain the @TFTUnitProperty.trait:TFT17_PsyOps_Item1@</row><br><row>(@MinUnits@) Gain the @TFTUnitProperty.trait:TFT17_PsyOps_Item2@, Psionic items gain extra effects on Psionic units</row><br><br><br>"
Psionic,TFT17_PSYOPS,GOLD,25000,4,5,{'{1b889d1c}': 50.0},"Gain Psionic items that can be equipped to any ally.<br><br><row>(@MinUnits@) Gain the @TFTUnitProperty.trait:TFT17_PsyOps_Item1@</row><br><row>(@MinUnits@) Gain the @TFTUnitProperty.trait:TFT17_PsyOps_Item2@, Psionic items gain extra effects on Psionic units</row><br><br><br>"
Eradicator,TFT17_JHINUNIQUETRAIT,LEGENDARY,1,1,4,{'{f14d7f53}': 0.14000000059604645},Enemies have @PctResists*100@% less Armor and Magic Resist.
Timebreaker,TFT17_TIMEBREAKER,BRONZE,2,2,1,"{'AttackSpeed': None, '{1e1f6d15}': None, '{aaae13a0}': 1.0}","<row>(@MinUnits@) When you lose, gain free rerolls. When you win, store XP in a Temporal Core (scales with stage).</row><br><row>(@MinUnits@) AND Allies gain @AttackSpeed*100@% Attack Speed.</row><br><row>(@MinUnits@) AND Timebreakers gain an additional @TimebreakerAdditionalAS*100@% Attack Speed</row><br><br><rules>Rerolls on Loss: @TFTUnitProperty.:TFT17_Timebreaker_NumRerollsTooltip@<br>XP on Win: @TFTUnitProperty.:TFT17_Timebreaker_NumXPTooltip@</rules>"
Timebreaker,TFT17_TIMEBREAKER,SILVER,3,3,3,"{'AttackSpeed': 0.15000000596046448, '{1e1f6d15}': None, '{aaae13a0}': 1.0}","<row>(@MinUnits@) When you lose, gain free rerolls. When you win, store XP in a Temporal Core (scales with stage).</row><br><row>(@MinUnits@) AND Allies gain @AttackSpeed*100@% Attack Speed.</row><br><row>(@MinUnits@) AND Timebreakers gain an additional @TimebreakerAdditionalAS*100@% Attack Speed</row><br><br><rules>Rerolls on Loss: @TFTUnitProperty.:TFT17_Timebreaker_NumRerollsTooltip@<br>XP on Win: @TFTUnitProperty.:TFT17_Timebreaker_NumXPTooltip@</rules>"
Timebreaker,TFT17_TIMEBREAKER,GOLD,25000,4,5,"{'AttackSpeed': 0.15000000596046448, '{1e1f6d15}': 0.5, '{aaae13a0}': 1.0}","<row>(@MinUnits@) When you lose, gain free rerolls. When you win, store XP in a Temporal Core (scales with stage).</row><br><row>(@MinUnits@) AND Allies gain @AttackSpeed*100@% Attack Speed.</row><br><row>(@MinUnits@) AND Timebreakers gain an additional @TimebreakerAdditionalAS*100@% Attack Speed</row><br><br><rules>Rerolls on Loss: @TFTUnitProperty.:TFT17_Timebreaker_NumRerollsTooltip@<br>XP on Win: @TFTUnitProperty.:TFT17_Timebreaker_NumXPTooltip@</rules>"
Marauder,TFT17_MELEETRAIT,BRONZE,3,2,1,"{'AD': 0.20000000298023224, 'MaxPercentHealthShield': 0.25, 'Omnivamp': 0.05000000074505806, '{86f7ce25}': None, '{b44bae16}': 0.05000000074505806}","Your team gains @TeamwideBonus*100@% Omnivamp. Marauders gain more Omnivamp, Attack Damage, and their Omnivamp overhealing is converted into Shield (up to @MaxPercentHealthShield*100@% max Health.)<br><br><row>(@MinUnits@) @Omnivamp*100@% %i:scaleSV%, @AD*100@% %i:scaleAD%</row><br><row>(@MinUnits@) @Omnivamp*100@% %i:scaleSV%, @AD*100@% %i:scaleAD%</row><br><row>(@MinUnits@) @Omnivamp*100@% %i:scaleSV%, @AD*100@% %i:scaleAD%.</row>"
Marauder,TFT17_MELEETRAIT,SILVER,5,4,3,"{'AD': 0.3499999940395355, 'MaxPercentHealthShield': 0.25, 'Omnivamp': 0.07000000029802322, '{86f7ce25}': None, '{b44bae16}': 0.05000000074505806}","Your team gains @TeamwideBonus*100@% Omnivamp. Marauders gain more Omnivamp, Attack Damage, and their Omnivamp overhealing is converted into Shield (up to @MaxPercentHealthShield*100@% max Health.)<br><br><row>(@MinUnits@) @Omnivamp*100@% %i:scaleSV%, @AD*100@% %i:scaleAD%</row><br><row>(@MinUnits@) @Omnivamp*100@% %i:scaleSV%, @AD*100@% %i:scaleAD%</row><br><row>(@MinUnits@) @Omnivamp*100@% %i:scaleSV%, @AD*100@% %i:scaleAD%.</row>"
Marauder,TFT17_MELEETRAIT,GOLD,25000,6,5,"{'AD': 0.5, 'MaxPercentHealthShield': 0.25, 'Omnivamp': 0.10000000149011612, '{86f7ce25}': 0.20000000298023224, '{b44bae16}': 0.05000000074505806}","Your team gains @TeamwideBonus*100@% Omnivamp. Marauders gain more Omnivamp, Attack Damage, and their Omnivamp overhealing is converted into Shield (up to @MaxPercentHealthShield*100@% max Health.)<br><br><row>(@MinUnits@) @Omnivamp*100@% %i:scaleSV%, @AD*100@% %i:scaleAD%</row><br><row>(@MinUnits@) @Omnivamp*100@% %i:scaleSV%, @AD*100@% %i:scaleAD%</row><br><row>(@MinUnits@) @Omnivamp*100@% %i:scaleSV%, @AD*100@% %i:scaleAD%.</row>"
Gun Goddess,TFT17_MISSFORTUNEUNIQUETRAIT,LEGENDARY,25000,1,4,"{'DamageAmp': 0.009999999776482582, 'FlatDamage': 100.0, 'Mana': 2.0, 'NumAttacks': 3.0, '{23e9891f}': 2.0}","When you field Miss Fortune, choose between Channeler Mode, Challenger Mode, and Replicator Mode. Miss Fortune has a unique ability based on her mode and gains the associated trait."
Anima,TFT17_ANIMASQUAD,BRONZE,5,3,1,"{'{14e25eda}': 15, '{42629aca}': 100.0, '{56d578e4}': 1.0, '{a4fc089f}': 5.0, '{af1c6fc0}': 15.0, '{f12fb39b}': 5, '{f45ba40a}': 20.0, '{fb9b6210}': 2}","After losing a player combat, gain @TechPerCombat@ Tech, plus additional Tech equal to @TechPerLoss@ times the length of your loss streak. Additionally, gain @TechPerKill@ Tech per Anima takedown.<br><br>Each time Animas get @TechBreakpoint@ Tech, they prototype new Anima Weapons. You can take them, or save your Tech to get more powerful weapons next time.<br><br><row>(@MinUnits@) Start Researching! </row><br><row>(@MinUnits@) After winning a player combat, gain loot!</row>"
Anima,TFT17_ANIMASQUAD,GOLD,25000,6,5,"{'{14e25eda}': 15, '{42629aca}': 100.0, '{56d578e4}': 1.0, '{a4fc089f}': 5.0, '{af1c6fc0}': 15.0, '{f12fb39b}': 5, '{f45ba40a}': 20.0, '{fb9b6210}': 2}","After losing a player combat, gain @TechPerCombat@ Tech, plus additional Tech equal to @TechPerLoss@ times the length of your loss streak. Additionally, gain @TechPerKill@ Tech per Anima takedown.<br><br>Each time Animas get @TechBreakpoint@ Tech, they prototype new Anima Weapons. You can take them, or save your Tech to get more powerful weapons next time.<br><br><row>(@MinUnits@) Start Researching! </row><br><row>(@MinUnits@) After winning a player combat, gain loot!</row>"
Fateweaver,TFT17_FATEWEAVER,BRONZE,3,2,1,{'CritDamage': None},Innate: Fateweavers have <TFTKeyword>Precision</TFTKeyword>.<br><br><row>(@MinUnits@) Chance effects on abilities are <TFTKeyword>Lucky</TFTKeyword>.</row><br><row>(@MinUnits@) Gain @CritChance*100@% Crit Chance and @CritDamage@%&nbsp;Crit Damage. Critical strikes are also <TFTKeyword>Lucky</TFTKeyword>.</row><br><br>{{TFT_Keyword_Precision}}<br><rules>Lucky: Check twice and take the better outcome.</rules>
Fateweaver,TFT17_FATEWEAVER,GOLD,25000,4,5,"{'CritChance': 0.20000000298023224, 'CritDamage': 20.0}",Innate: Fateweavers have <TFTKeyword>Precision</TFTKeyword>.<br><br><row>(@MinUnits@) Chance effects on abilities are <TFTKeyword>Lucky</TFTKeyword>.</row><br><row>(@MinUnits@) Gain @CritChance*100@% Crit Chance and @CritDamage@%&nbsp;Crit Damage. Critical strikes are also <TFTKeyword>Lucky</TFTKeyword>.</row><br><br>{{TFT_Keyword_Precision}}<br><rules>Lucky: Check twice and take the better outcome.</rules>
Galaxy Hunter,TFT17_ZEDUNIQUETRAIT,LEGENDARY,25000,1,4,{'BonusAD': 0.4000000059604645},"Zed is obtained from the Invader Zed augment.<br><br>While at least one clone is alive, Zed gains @BonusAD*100@% bonus Attack Damage."
Bulwark,TFT17_SHENUNIQUETRAIT,LEGENDARY,25000,1,4,"{'AttackSpeed': 0.20000000298023224, 'AttackSpeedDuration': 60.0, 'PercentHealthShield': 0.18000000715255737, 'ShieldDuration': 60.0}","Summon a placeable relic. At the start of combat, it grants adjacent allies a @PercentHealthShield*100@% max Health shield and @AttackSpeed*100@% Attack Speed."
Commander,TFT17_SONAUNIQUETRAIT,LEGENDARY,25000,1,4,"{'AS': 0.15000000596046448, 'HealthRatio': 0.15000000596046448, '{0aa6b6fd}': 2.0}",(@MinUnits@) Sona gives you a random Command Mod every @RoundsPerMod@ rounds which allows you to alter the way an ally behaves during combat. Command Mods last @RoundsPerMod@ player combats even if they are not equipped.
Stargazer,TFT17_STARGAZER_MEDALLION,GOLD,25000,3,5,"{'{37204635}': 10.0, '{3d49cc86}': 20.0, '{3eb3e144}': 12.0, '{c32af02f}': 0.05000000074505806, '{c91721ff}': 9.0}","Stargazers chart a different constellation every game. This game: <TFTStargazer>The Medallion</TFTStargazer>.<br><br><row>(@MinUnits@) Allies in empowered hexes gain @Medallion_DA@% Damage Amp, which increases by @Medallion_IncreasePer3Star@% for each 3-star ally.</row><br><br>(Current&nbsp;Bonus:&nbsp;@TFTUnitProperty.trait:TFT17_Stargazer_Medallion_Increase@% %i:scaleDA%)<br><br><rules>More hexes reveal at each player level</rules>"
Stargazer,TFT17_STARGAZER_HUNTRESS,BRONZE,4,3,1,"{'{1124f5ef}': 3.0, '{47ed491f}': 0.15000000596046448, '{80c9d1be}': 0.10000000149011612, '{cd6187f4}': 0.15000000596046448}","Stargazers chart a different constellation every game. This game: <TFTStargazer>The Huntress</TFTStargazer>.<br><br>Combat Start: Mark the highest Health enemies. <br><br>Allies in empowered hexes gain @Huntress_AS_Teamwide*100@% Attack Speed. Stargazers in empowered hexes gain more and heal for @Huntress_Heal*100@% of their max Health when a marked enemy dies.<br><br><row>(@MinUnits@) @Huntress_AS*100@% %i:scaleAS%, @NumMarks@ marks</row><br><row>(@MinUnits@) @Huntress_AS*100@% %i:scaleAS%, @NumMarks@ marks</row><br><row>(@MinUnits@) @Huntress_AS*100@% %i:scaleAS%, @NumMarks@ marks</row><br><br><rules>More hexes reveal at each player level</rules>"
Stargazer,TFT17_STARGAZER_HUNTRESS,SILVER,6,5,3,"{'{1124f5ef}': 5.0, '{47ed491f}': 0.15000000596046448, '{80c9d1be}': 0.10000000149011612, '{cd6187f4}': 0.30000001192092896}","Stargazers chart a different constellation every game. This game: <TFTStargazer>The Huntress</TFTStargazer>.<br><br>Combat Start: Mark the highest Health enemies. <br><br>Allies in empowered hexes gain @Huntress_AS_Teamwide*100@% Attack Speed. Stargazers in empowered hexes gain more and heal for @Huntress_Heal*100@% of their max Health when a marked enemy dies.<br><br><row>(@MinUnits@) @Huntress_AS*100@% %i:scaleAS%, @NumMarks@ marks</row><br><row>(@MinUnits@) @Huntress_AS*100@% %i:scaleAS%, @NumMarks@ marks</row><br><row>(@MinUnits@) @Huntress_AS*100@% %i:scaleAS%, @NumMarks@ marks</row><br><br><rules>More hexes reveal at each player level</rules>"
Stargazer,TFT17_STARGAZER_HUNTRESS,GOLD,25000,7,5,"{'{1124f5ef}': 7.0, '{47ed491f}': 0.15000000596046448, '{80c9d1be}': 0.10000000149011612, '{cd6187f4}': 0.44999998807907104}","Stargazers chart a different constellation every game. This game: <TFTStargazer>The Huntress</TFTStargazer>.<br><br>Combat Start: Mark the highest Health enemies. <br><br>Allies in empowered hexes gain @Huntress_AS_Teamwide*100@% Attack Speed. Stargazers in empowered hexes gain more and heal for @Huntress_Heal*100@% of their max Health when a marked enemy dies.<br><br><row>(@MinUnits@) @Huntress_AS*100@% %i:scaleAS%, @NumMarks@ marks</row><br><row>(@MinUnits@) @Huntress_AS*100@% %i:scaleAS%, @NumMarks@ marks</row><br><row>(@MinUnits@) @Huntress_AS*100@% %i:scaleAS%, @NumMarks@ marks</row><br><br><rules>More hexes reveal at each player level</rules>"
God-Blessed,SET17_CAROUSELMARKET_EMPOWEREDHEXTRAIT,BRONZE,25000,,1,{},@TFTUnitProperty.trait:TFT17_CarouselMarket_TraitTRAKey1@<br><br>@TFTUnitProperty.trait:TFT17_CarouselMarket_TraitTRAKey2@<br><br>@TFTUnitProperty.trait:TFT17_CarouselMarket_TraitTRAKey3@<br><br>@TFTUnitProperty.trait:TFT17_CarouselMarket_TraitTRAKey4@<br><br>@TFTUnitProperty.trait:TFT17_CarouselMarket_TraitTRAKey5@<br><br>@TFTUnitProperty.trait:TFT17_CarouselMarket_TraitTRAKey6@<br><br>@TFTUnitProperty.trait:TFT17_CarouselMarket_TraitTRAKey7@<br><br>@TFTUnitProperty.trait:TFT17_CarouselMarket_TraitTRAKey8@<br><br>@TFTUnitProperty.trait:TFT17_CarouselMarket_TraitTRAKey9@<br><br>@TFTUnitProperty.trait:TFT17_CarouselMarket_TraitTRAKey10@<br>
Stargazer,TFT17_STARGAZER_SERPENT,BRONZE,4,3,1,"{'{7adc6b6f}': 0.07000000029802322, '{c46c064d}': 0.30000001192092896, '{cd767296}': 0.07999999821186066, '{dc3fb039}': 3}","Stargazers chart a different constellation every game. This game: <TFTStargazer>The Serpent</TFTStargazer>.<br><br>Allies in empowered hexes gain @Serpent_DR_Teamwide*100@% Durability. Stargazers in empowered hexes gain more and poison enemies, repeating a portion of damage dealt as magic damage over @Serpent_Duration@ seconds.<br><br><expandRow>(@MinUnits@) @Serpent_DR*100@% %i:scaleDR%, @Serpent_Poison*100@% poison damage</expandRow><br><br><rules>More hexes reveal at each player level</rules>"
Stargazer,TFT17_STARGAZER_SERPENT,SILVER,6,5,3,"{'{7adc6b6f}': 0.11999999731779099, '{c46c064d}': 0.44999998807907104, '{cd767296}': 0.07999999821186066, '{dc3fb039}': 3}","Stargazers chart a different constellation every game. This game: <TFTStargazer>The Serpent</TFTStargazer>.<br><br>Allies in empowered hexes gain @Serpent_DR_Teamwide*100@% Durability. Stargazers in empowered hexes gain more and poison enemies, repeating a portion of damage dealt as magic damage over @Serpent_Duration@ seconds.<br><br><expandRow>(@MinUnits@) @Serpent_DR*100@% %i:scaleDR%, @Serpent_Poison*100@% poison damage</expandRow><br><br><rules>More hexes reveal at each player level</rules>"
Stargazer,TFT17_STARGAZER_SERPENT,GOLD,25000,7,5,"{'{7adc6b6f}': 0.17000000178813934, '{c46c064d}': 0.6000000238418579, '{cd767296}': 0.07999999821186066, '{dc3fb039}': 3}","Stargazers chart a different constellation every game. This game: <TFTStargazer>The Serpent</TFTStargazer>.<br><br>Allies in empowered hexes gain @Serpent_DR_Teamwide*100@% Durability. Stargazers in empowered hexes gain more and poison enemies, repeating a portion of damage dealt as magic damage over @Serpent_Duration@ seconds.<br><br><expandRow>(@MinUnits@) @Serpent_DR*100@% %i:scaleDR%, @Serpent_Poison*100@% poison damage</expandRow><br><br><rules>More hexes reveal at each player level</rules>"
Stargazer,TFT17_STARGAZER_SHIELD,GOLD,25000,3,5,"{'{1cec9986}': 20.0, '{3402840a}': 30.0, '{49c8aff4}': 60, '{9ce174de}': 8.0, '{a51e73d8}': 12.0}","Stargazers chart a different constellation every game. This game: <TFTStargazer>The Altar</TFTStargazer>.<br><br><row>(@MinUnits@) When ANY champion dies, they are sacrificed to the Altar. Allies in empowered hexes gain @Shield_Health_Teamwide@% Health and @Shield_AS_Teamwide@% Attack Speed.<br><br>After @Shield_NumDeaths@ sacrifices, Stargazers in empowered hexes gain an additional @Shield_CashoutHP@% %i:scaleHealth% and @Shield_CashoutAS@% %i:scaleAS%<br><br>Sacrifices: (@TFTUnitProperty.trait:TFT17_Stargazer_Shield_Deaths@ / @Shield_NumDeaths@)</row><br><br><rules>More hexes reveal at each player level</rules>"
Stargazer,TFT17_STARGAZER_FOUNTAIN,BRONZE,4,3,1,"{'{0923ca75}': 1.0, '{c365dfc6}': 1.0, '{f7e2b271}': 0.11999999731779099}","Stargazers chart a different constellation every game. This game: <TFTStargazer>The Fountain</TFTStargazer>.<br><br>Allies in empowered hexes gain @Fountain_ManaRegen_Teamwide@ Mana Regen. Stargazers in empowered hexes gain more and heal the lowest Health ally with their abilities.<br><br><expandRow>(@MinUnits@) @Fountain_ManaRegen@ %i:TFTManaRegen%, @Fountain_HealPercent*100@% ability damage heal</expandRow><br><br><rules>More hexes reveal at each player level</rules>"
Stargazer,TFT17_STARGAZER_FOUNTAIN,GOLD,25000,5,5,"{'{0923ca75}': 1.0, '{c365dfc6}': 3.0, '{f7e2b271}': 0.2199999988079071}","Stargazers chart a different constellation every game. This game: <TFTStargazer>The Fountain</TFTStargazer>.<br><br>Allies in empowered hexes gain @Fountain_ManaRegen_Teamwide@ Mana Regen. Stargazers in empowered hexes gain more and heal the lowest Health ally with their abilities.<br><br><expandRow>(@MinUnits@) @Fountain_ManaRegen@ %i:TFTManaRegen%, @Fountain_HealPercent*100@% ability damage heal</expandRow><br><br><rules>More hexes reveal at each player level</rules>"
Rogue,TFT17_ASSASSINTRAIT,BRONZE,2,2,1,"{'AD': 0.15000000596046448, 'AP': 15.0, 'Duration': 3.0, 'HealthThreshold': 0.5}","Rogues gain Attack Damage and Ability Power. The first time they fall below @HealthThreshold*100@% health, they slip into shadows. Enemies targeting them are redirected to a nearby unit, preferring Tanks.<br><br><row>(@MinUnits@) @AP@% %i:scaleAD% %i:scaleAP%</row><br><row>(@MinUnits@) @AP@% %i:scaleAD% %i:scaleAP%</row><br><row>(@MinUnits@) @AP@% %i:scaleAD% %i:scaleAP%</row><br><row>(@MinUnits@) @AP@% %i:scaleAD% %i:scaleAP%</row>"
Rogue,TFT17_ASSASSINTRAIT,SILVER,3,3,3,"{'AD': 0.30000001192092896, 'AP': 30.0, 'Duration': 3.0, 'HealthThreshold': 0.5}","Rogues gain Attack Damage and Ability Power. The first time they fall below @HealthThreshold*100@% health, they slip into shadows. Enemies targeting them are redirected to a nearby unit, preferring Tanks.<br><br><row>(@MinUnits@) @AP@% %i:scaleAD% %i:scaleAP%</row><br><row>(@MinUnits@) @AP@% %i:scaleAD% %i:scaleAP%</row><br><row>(@MinUnits@) @AP@% %i:scaleAD% %i:scaleAP%</row><br><row>(@MinUnits@) @AP@% %i:scaleAD% %i:scaleAP%</row>"
