item_name,item_api_name,effects,trait_granted,unique,num_craftables,num_artifacts,num_radiants,num_supports,num_emblems,num_components,num_tg_items,num_tac_items,num_swords,num_vests,num_pans,num_belts,num_rods,num_cloaks,num_bows,num_gloves,num_spats,num_tears
Radiant Quicksilver,TFT5_ITEM_QUICKSILVERRADIANT,"{""AS"": 30.0, ""CritChance"": 40.0, ""MagicResist"": 40.0, ""ProcAttackSpeed"": 0.05999999865889549, ""SpellShieldDuration"": 45.0}",,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radiant Hextech Gunblade,TFT5_ITEM_HEXTECHGUNBLADERADIANT,"{""AD"": 0.4000000059604645, ""AP"": 40.0, ""AllyHealing"": 0.4000000059604645, ""ManaRegen"": 2.0, ""Omnivamp"": 35.0, ""StatOmnivamp"": 0.30000001192092896}",,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radiant Void Staff,TFT5_ITEM_STATIKKSHIVRADIANT,"{""AP"": 75.0, ""AS"": 30.0, ""MRShred"": 30.0, ""MRShredDuration"": 90.0, ""ManaRegen"": 2.0}",,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radiant Protector's Vow,TFT5_ITEM_FROZENHEARTRADIANT,"{""Armor"": 50.0, ""CombatStartMana"": 40.0, ""HealthThreshold"": 40.0, ""MagicResist"": 50.0, ""ManaRegen"": 2.0, ""ShieldDuration"": 60.0, ""ShieldHealthPercent"": 40.0, ""TriggerMana"": 30.0}",,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radiant Blue Buff,TFT5_ITEM_BLUEBUFFRADIANT,"{""AD"": 0.30000001192092896, ""AP"": 30.0, ""ManaRegen"": 10.0, ""ModifiedADAP"": 0.20000000298023224}",,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radiant Archangel's Staff,TFT5_ITEM_ARCHANGELSSTAFFRADIANT,"{""AP"": 60.0, ""APPerInterval"": 40.0, ""IntervalSeconds"": 5.0, ""ManaRegen"": 2.0}",,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radiant Morellonomicon,TFT5_ITEM_MORELLONOMICONRADIANT,"{""AP"": 40.0, ""BurnDuration"": 10.0, ""BurnPercent"": 2.0, ""GrievousWoundsPercent"": 33.0, ""Health"": 300.0, ""ManaRegen"": 2.0, ""MonsterCap"": 150.0, ""TicksPerSecond"": 1.0}",,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radiant Bramble Vest,TFT5_ITEM_BRAMBLEVESTRADIANT,"{""1StarAoEDamage"": 200.0, ""2StarAoEDamage"": 200.0, ""3StarAoEDamage"": 200.0, ""4StarAoEDamage"": 200.0, ""Armor"": 130.0, ""AutoDamageReduction"": 0.10000000149011612, ""ICD"": 2.0, ""PercentMaxHP"": 0.18000000715255737}",,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zz'Rot Portal,TFT5_ITEM_ZZROTPORTALRADIANT,"{""Health"": 150.0, ""SummonedStatReduction"": 25.0, ""{50a0dbb5}"": 1.0, ""{ef0bb7c2}"": 1.0}",,True,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radiant Kraken's Fury,TFT5_ITEM_RUNAANSHURRICANERADIANT,"{""AD"": 0.20000000298023224, ""ADOnAttack"": 0.07000000029802322, ""AS"": 20.0, ""ASCapstone"": 0.6000000238418579, ""MagicResist"": 40.0, ""MaxStacks"": 15.0}",,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radiant Guinsoo's Rageblade,TFT5_ITEM_GUINSOOSRAGEBLADERADIANT,"{""AP"": 20.0, ""AS"": 20.0, ""AttackSpeedPerStack"": 14.0}",,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radiant Hand of Justice,TFT5_ITEM_HANDOFJUSTICERADIANT,"{""AD_NotStatBar"": 0.30000001192092896, ""AP_NotStatBar"": 30.0, ""CritChance"": 40.0, ""HealthThreshold"": 0.5, ""ManaRegen"": 2.0, ""StatOmnivamp_NotStatBar"": 0.23999999463558197, ""{f23e83fc}"": 2.0}",,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radiant Sunfire Cape,TFT5_ITEM_SUNFIRECAPERADIANT,"{""Armor"": 40.0, ""BonusPercentHP"": 0.1599999964237213, ""BurnDuration"": 10.0, ""BurnPercent"": 2.0, ""GrievousWoundsPercent"": 33.0, ""Health"": 300.0, ""HealthRegenInterval"": null, ""HexRange"": 2.0, ""ICD"": 2.0, ""MaxHealthRegen"": null, ""MonsterCap"": 150.0}",,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radiant Last Whisper,TFT5_ITEM_LASTWHISPERRADIANT,"{""AD"": 0.44999998807907104, ""AS"": 40.0, ""ArmorBreakDuration"": 50.0, ""ArmorReductionPercent"": 30.0, ""CritChance"": 40.0}",,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radiant Thief's Gloves,TFT5_ITEM_THIEFSGLOVESRADIANT,"{""CritChance"": 20.0, ""Health"": 150.0}",,False,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Radiant Warmog's Armor,TFT5_ITEM_WARMOGSARMORRADIANT,"{""BonusPercentHP"": 0.30000001192092896, ""Health"": 1000.0, ""HealthRegenInterval"": null, ""MaxHealthRegen"": null}",,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radiant Sterak's Gage,TFT5_ITEM_STERAKSGAGERADIANT,"{""AD"": 0.800000011920929, ""Health"": 600.0, ""HealthThreshold"": 60.0, ""PercentHealthShield"": 1.0, ""ShieldDuration"": 6.0}",,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radiant Spirit Visage,TFT5_ITEM_REDEMPTIONRADIANT,"{""HealTickRate"": 1.0, ""Health"": 600.0, ""ManaRegen"": 4.0, ""MaxHeal"": 2000.0, ""MissingHealthHeal"": 0.05000000074505806, ""{cd951938}"": 0.20000000298023224}",,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radiant Edge of Night,TFT5_ITEM_GUARDIANANGELRADIANT,"{""AD"": 0.30000001192092896, ""AP"": 30.0, ""AS"": 30.0, ""Armor"": 40.0, ""DamageReduction"": 100.0, ""HealthThreshold"": 60.0, ""MissingHealthRestore"": 1.0, ""StealthDuration"": 1.0}",,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radiant Red Buff,TFT5_ITEM_RAPIDFIRECANNONRADIANT,"{""AS"": 90.0, ""BonusDamage"": 0.05999999865889549, ""BurnPercent"": 2.0, ""Duration"": 5.0, ""HealingReductionPct"": 33.0, ""HexRangeIncrease"": 2.0, ""{1543aa48}"": 0.05999999865889549}",,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radiant Steadfast Heart,TFT5_ITEM_NIGHTHARVESTERRADIANT,"{""Armor"": 40.0, ""BaseDamageReduction"": 20.0, ""BaseDurability"": 0.20000000298023224, ""CritChance"": 40.0, ""EmpowerDamageReduction"": 36.0, ""EmpoweredDurability"": 0.36000001430511475, ""Health"": 500.0, ""ThresholdForEmpower"": 0.5}",,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radiant Titan's Resolve,TFT5_ITEM_TITANSRESOLVERADIANT,"{""AS"": 20.0, ""Armor"": 40.0, ""StackCap"": 25.0, ""StackedAmp"": 0.20000000298023224, ""StackingAD"": 0.03999999910593033, ""StackingSP"": 4.0}",,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radiant Giant Slayer,TFT5_ITEM_GIANTSLAYERRADIANT,"{""AD"": 0.30000001192092896, ""AP"": 30.0, ""AS"": 30.0, ""DamageAmp"": 0.30000001192092896, ""{1543aa48}"": 0.30000001192092896, ""{abb9f4ce}"": 25.0}",,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radiant Crownguard,TFT5_ITEM_CROWNGUARDRADIANT,"{""AP"": 40.0, ""Armor"": 40.0, ""Health"": 200.0, ""ShieldBonusAP"": 50.0, ""ShieldDuration"": 8.0, ""ShieldSize"": 50.0}",,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radiant Bloodthirster,TFT5_ITEM_BLOODTHIRSTERRADIANT,"{""AD"": 0.4000000059604645, ""AP"": 40.0, ""HealthThreshold"": 40.0, ""LifeSteal"": 40.0, ""MagicResist"": 40.0, ""ShieldDuration"": 5.0, ""ShieldHealthPercent"": 50.0, ""StatOmnivamp"": 0.4000000059604645}",,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radiant Rabadon's Deathcap,TFT5_ITEM_RABADONSDEATHCAPRADIANT,"{""AP"": 100.0, ""BonusDamage"": 0.5, ""{1543aa48}"": 0.30000001192092896}",,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radiant Jeweled Gauntlet,TFT5_ITEM_JEWELEDGAUNTLETRADIANT,"{""AP"": 75.0, ""CritChance"": 75.0, ""CritDamageToGive"": 0.10000000149011612}",,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radiant Gargoyle Stoneplate,TFT5_ITEM_GARGOYLESTONEPLATERADIANT,"{""Armor"": 50.0, ""ArmorPerEnemy"": 20.0, ""Health"": 200.0, ""HealthRegenInterval"": null, ""MRPerEnemy"": 20.0, ""MagicResist"": 50.0, ""MaxHealthRegen"": null, ""SizeIncrease"": 0.07500000298023224, ""{4dc0582f}"": 20.0}",,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radiant Nashor's Tooth,TFT5_ITEM_LEVIATHANRADIANT,"{""AP"": 30.0, ""AS"": 20.0, ""BaseManaOnHit"": 4, ""CritChance"": 40.0, ""Health"": 300.0, ""ManaOnCrit"": 8.0}",,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radiant Spear of Shojin,TFT5_ITEM_SPEAROFSHOJINRADIANT,"{""AD"": 0.30000001192092896, ""AP"": 30.0, ""FlatManaRestore"": 10.0, ""ManaRegen"": 2.0}",,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radiant Evenshroud,TFT5_ITEM_SPECTRALGAUNTLETRADIANT,"{""ARReductionAmount"": 30.0, ""BonusResistDuration"": 20.0, ""BonusResists"": 50.0, ""Health"": 500.0, ""HexRange"": 3.0, ""MagicResist"": 40.0}",,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radiant Infinity Edge,TFT5_ITEM_INFINITYEDGERADIANT,"{""AD"": 0.75, ""CritChance"": 75.0, ""CritDamageToGive"": 0.10000000149011612}",,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radiant Deathblade,TFT5_ITEM_DEATHBLADERADIANT,"{""AD"": 1.100000023841858, ""BonusDamage"": 0.20000000298023224, ""{1543aa48}"": 0.20000000298023224}",,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radiant Adaptive Helm,TFT5_ITEM_ADAPTIVEHELMRADIANT,"{""BacklineADAP"": 30.0, ""FrontlineResists"": 90.0, ""MagicResist"": 40.0, ""ManaPercIncrease"": 0.30000001192092896, ""ManaRegen"": 6.0}",,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesser Mirrored Persona,TFT_ITEM_ARTIFACT_LESSERMIRROREDPERSONA,"{""AD"": 0.10000000149011612, ""AP"": 10.0, ""AS"": 10.0, ""Armor"": 10.0, ""Health"": 100.0, ""MagicResist"": 10.0, ""{e8aa04a7}"": 0.15000000596046448}",,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Innervating Locket,TFT_ITEM_ARTIFACT_INNERVATINGLOCKET,"{""Duration"": 3.0, ""Health"": 150.0, ""ManaRegen"": 2.0, ""PercentHealth"": 20.0, ""PercentMana"": 1.0}",,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Protector's Vow,TFT_ITEM_FROZENHEART,"{""Armor"": 25.0, ""CombatStartMana"": 20.0, ""HealthThreshold"": 40.0, ""MagicResist"": 25.0, ""ManaRegen"": 1.0, ""ShieldDuration"": 60.0, ""ShieldHealthPercent"": 20.0, ""TriggerMana"": 15.0}",,False,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
The Indomitable,TFT_ITEM_ARTIFACT_THEINDOMITABLE,"{""Armor"": 20.0, ""Health"": 500.0, ""HealthPercBonus"": 0.11999999731779099, ""MagicResist"": 20.0}",,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hullcrusher,TFT9_ITEM_ORNNHULLBREAKER,"{""Armor"": 50.0, ""ExtraADandAP"": 10.0, ""ExtraHealth"": 400.0, ""MagicResist"": 50.0}",,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shroud of Stillness,TFT_ITEM_SHROUD,"{""BonusAllyHealth"": 60.0, ""CostIncrease"": 30.0, ""Health"": 150.0, ""{4516a18d}"": 60.0}",,True,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spirit Visage,TFT_ITEM_REDEMPTION,"{""HealTickRate"": 1.0, ""Health"": 300.0, ""ManaRegen"": 2.0, ""MaxHeal"": 250.0, ""MissingHealthHeal"": 0.02500000037252903, ""{cd951938}"": 0.10000000149011612}",,False,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Banshee's Veil,TFT_ITEM_BANSHEESVEIL,"{""BuffAttackSpeed"": 0.25, ""Duration"": 18.0, ""Health"": 150.0, ""HexRange"": 1.0}",,True,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shadow Puppet,TFT_ITEM_ARTIFACT_SHADOWPUPPET,"{""AS"": 10.0, ""Armor"": 10.0, ""MagicResist"": 10.0, ""{3ddbd7a2}"": 0.4000000059604645, ""{d98d1cc5}"": 0.699999988079071}",,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruiser Emblem,TFT16_ITEM_BRAWLEREMBLEMITEM,"{""Health"": 150.0, ""HealthRatio"": 0.019999999552965164, ""HexRadius"": 1, ""{90e3195f}"": 0.6000000238418579, ""{9e637bfc}"": 1.0}",TFT16_Brawler,True,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Invoker Emblem,TFT16_ITEM_INVOKEREMBLEMITEM,"{""APPercent"": 0.20000000298023224, ""ManaRegen"": 1.0}",TFT16_Invoker,True,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Slayer Emblem,TFT16_ITEM_SLAYEREMBLEMITEM,"{""AD"": 0.10000000149011612, ""HealthThreshold"": 0.25, ""ManaGain"": 20.0, ""ShieldPercent"": 0.15000000596046448}",TFT16_Slayer,True,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Vanquisher Emblem,TFT16_ITEM_VANQUISHEREMBLEMITEM,"{""CritChance"": 20.0, ""GoldAmount"": 1, ""ICD"": 0.75, ""{91a7fc34}"": 5.0, ""{a4485bea}"": 2.0}",TFT16_Vanquisher,True,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Longshot Emblem,TFT16_ITEM_LONGSHOTEMBLEMITEM,"{""Health"": 150.0, ""RangeIncrease"": 1}",TFT16_Longshot,True,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Quickstriker Emblem,TFT16_ITEM_RAPIDFIREEMBLEMITEM,"{""AS"": 10.0, ""HealPercent"": 0.10000000149011612}",TFT16_Rapidfire,True,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Disruptor Emblem,TFT16_ITEM_MAGUSEMBLEMITEM,"{""DOTPercent"": 0.30000001192092896, ""Duration"": 3.0, ""Health"": 150.0}",TFT16_Magus,True,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Yordle Emblem,TFT16_ITEM_YORDLEEMBLEMITEM,"{""MagicResist"": 20.0}",TFT16_Yordle,True,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Gunslinger Emblem,TFT16_ITEM_GUNSLINGEREMBLEMITEM,"{""ArmorPerDamage"": 2.0, ""Health"": 150.0}",TFT16_Gunslinger,True,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Void Emblem,TFT16_ITEM_VOIDEMBLEMITEM,"{""AS"": 10.0}",TFT16_Void,True,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
Piltover Emblem,TFT16_ITEM_PILTOVEREMBLEMITEM,"{""Health"": 150.0}",TFT16_Piltover,True,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Juggernaut Emblem,TFT16_ITEM_JUGGERNAUTEMBLEMITEM,"{""MagicResist"": 20.0, ""PercentHealth"": 0.10000000149011612, ""{bfabf167}"": 0.11999999731779099}",TFT16_Juggernaut,True,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Bilgewater Emblem,TFT16_ITEM_BILGEWATEREMBLEMITEM,"{""ManaRegen"": 1.0}",TFT16_Bilgewater,True,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Freljord Emblem,TFT16_ITEM_FRELJORDEMBLEMITEM,"{""Health"": 150.0}",TFT16_Freljord,True,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
Warden Emblem,TFT16_ITEM_WARDENEMBLEMITEM,"{""HealPercent"": 0.30000001192092896, ""Health"": 150.0}",TFT16_Warden,True,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Arcanist Emblem,TFT16_ITEM_SORCEREREMBLEMITEM,"{""AP"": 10.0, ""ManaRefundRatio"": 0.15000000596046448}",TFT16_Sorcerer,True,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Noxus Emblem,TFT16_ITEM_NOXUSEMBLEMITEM,"{""AD"": 0.10000000149011612}",TFT16_Noxus,True,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Zaun Emblem,TFT16_ITEM_ZAUNEMBLEMITEM,"{""CritChance"": 20.0}",TFT16_Zaun,True,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
Ixtal Emblem,TFT16_ITEM_IXTALEMBLEMITEM,"{""Health"": 150.0}",TFT16_Explorer,True,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ionia Emblem,TFT16_ITEM_IONIAEMBLEMITEM,"{""AP"": 10.0}",TFT16_Ionia,True,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
Demacia Emblem,TFT16_ITEM_DEMACIAEMBLEMITEM,"{""Armor"": 20.0}",TFT16_Demacia,True,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Defender Emblem,TFT16_ITEM_DEFENDEREMBLEMITEM,"{""Armor"": 20.0, ""ResistGain"": 0.3499999940395355}",TFT16_Defender,True,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Zephyr,TFT_ITEM_ZEPHYR,"{""AllyBonusAS"": 2.0, ""BanishDuration"": 5.0, ""Health"": 150.0}",,True,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manazane,TFT4_ITEM_ORNNMURAMANA,"{""AD"": 0.15000000596046448, ""AP"": 10.0, ""AS"": 15.0, ""ManaDuration"": 5.0, ""ManaRegen"": 1.0, ""ManaRestore"": 100.0}",,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mogul's Mail,TFT7_ITEM_SHIMMERSCALEMOGULSMAIL_HR,"{""BaseHealthPerStack"": 5.0, ""BaseResistsPerStack"": 1.0, ""GoldAtFullStacks"": 3.0, ""GoldInterval"": 12.0, ""Health"": 300.0, ""StackCap"": 35.0}",,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mogul's Mail,TFT7_ITEM_SHIMMERSCALEMOGULSMAIL,"{""BaseHealthPerStack"": 5.0, ""BaseResistsPerStack"": 1.0, ""GoldAtFullStacks"": 1.0, ""GoldInterval"": 12.0, ""Health"": 300.0, ""StackCap"": 35.0}",,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambler's Blade,TFT7_ITEM_SHIMMERSCALEGAMBLERSBLADE_HR,"{""AS"": 15.0, ""AttackSpeedGoldLimit"": 15.0, ""AttackSpeedPerGold"": 0.019999999552965164, ""ChanceToProc"": 0.10000000149011612, ""GoldPerProc"": 1.0, ""{46736b3f}"": 4.0, ""{b38e1643}"": 10.0}",,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Needlessly Big Gem,TFT7_ITEM_SHIMMERSCALEHEARTOFGOLD,"{""AmpPerSec"": 0.009999999776482582, ""BaseBonusDamage"": 0.05000000074505806, ""Health"": 150.0, ""MaxDamageAmp"": 0.20000000298023224, ""ProcTimeInSeconds"": 15.0}",,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambler's Blade,TFT7_ITEM_SHIMMERSCALEGAMBLERSBLADE,"{""AS"": 45.0, ""AttackSpeedGoldLimit"": 30.0, ""AttackSpeedPerGold"": 0.009999999776482582, ""ChanceToProc"": 0.05000000074505806, ""GoldPerProc"": 1.0, ""{46736b3f}"": 4.0, ""{b38e1643}"": 20.0}",,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Determined Investor,TFT7_ITEM_SHIMMERSCALEDETERMINEDINVESTOR,"{""GoldGranted"": 5.0, ""Health"": 150.0, ""StackLimit"": 8.0}",,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Needlessly Big Gem,TFT7_ITEM_SHIMMERSCALEHEARTOFGOLD_HR,"{""BaseBonusDamage"": 0.25, ""BonusDamagePerGold"": 0.029999999329447746, ""GoldLimit"": 15.0, ""Health"": 250.0, ""ProcTimeInSeconds"": 15.0, ""UnitsPerGold"": 2.0}",,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diamond Hands,TFT7_ITEM_SHIMMERSCALEDIAMONDHANDS,"{""AP"": 25.0, ""BaseDamageImmunityTime"": 1.5, ""GoldPerImmunityProc"": 1.0, ""HPThreshold1"": 0.5, ""HPThreshold2"": -2.0, ""Health"": 200.0}",,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trickster's Glass,TFT9_ITEM_ORNNTRICKSTERSGLASS,"{""AS"": 10.0, ""Armor"": 10.0, ""CritChance"": 15.0, ""HealthPercent"": 70.0, ""MagicResist"": 10.0, ""ManaIncrease"": 0.10000000149011612}",,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Darkin Aegis,TFT16_THEDARKINAEGIS,"{""Armor"": 25, ""HealPercent"": 0.019999999552965164, ""Health"": 200, ""HexRadius"": 2, ""MagicResist"": 25, ""PercentHealthDamage"": 1.0}",TFT16_DarkinWeapon,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
